model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,k,seed,strain,n_unseen_rows,secs,variant
k=3.0 (incl booster),0.42846906736425966,0.44591680460315186,0.27320882819323417,0.1874638325744101,0.603270266108988,0.7704263509638711,0.3536275010325359,0.33319086140138354,0.1550202470510332,0.6186242624028603,0.5294454796516411,0.9753263551103339,0.9426244892315775,0.7482623637597321,0.8057834736104463,3.0,4,CEK,3602,286.8,incl_booster
k=4.0 (incl booster),0.4107663101834189,0.44591680460315186,0.2720116705882227,0.18484492202490632,0.603270266108988,0.7079881456984105,0.3528072656855979,0.33319086140138354,0.13200939929857922,0.6168732925138335,0.5247896646192283,0.9709945316390595,0.9266756143284645,0.7045392294922298,0.8010997163524446,4.0,4,CEK,3602,292.3,incl_booster
k=1.0,0.42605779267502125,0.5057077991933139,0.2494796228212709,0.17623658270155731,0.5989476713657231,0.8292225217484066,0.36036404630021357,0.19044079483779922,0.22404701363021687,0.6001088977871374,0.5442765055593904,0.9790174287917817,0.9561454413253553,0.8028173874033867,0.8176798462871044,1.0,0,CEK,3602,219.8,pert_only
k=1.25,0.4240921628890258,0.5057077991933139,0.2549826889704925,0.17623658270155731,0.5989476713657231,0.825097522253921,0.36275791548739106,0.19044079483779922,0.2150710846797204,0.6001088977871374,0.5453982776835228,0.9787186538620403,0.9552950627831165,0.7976953383821093,0.8181467718161123,1.25,0,CEK,3602,227.0,pert_only
k=1.5,0.4217455821813224,0.5057077991933139,0.25948338123614056,0.17623658270155731,0.5989476713657231,0.8199048291301068,0.36471574558493164,0.19044079483779922,0.20591201523997338,0.6001088977871374,0.5460845632959971,0.9783338833100951,0.9541954617236403,0.7915311196943228,0.8183806342259723,1.5,0,CEK,3602,233.9,pert_only
k=2.0,0.4163079034657094,0.5057077991933139,0.26594107500781433,0.17623658270155731,0.5989476713657231,0.8064907930459104,0.36752488393091076,0.19044079483779922,0.18852798273824714,0.6001088977871374,0.5464775715975311,0.9773260174203717,0.9512485923119021,0.7767542340949599,0.8183554282402346,2.0,0,CEK,3602,240.7,pert_only
k=2.5,0.41015454870692386,0.5057077991933139,0.26969211765544954,0.17623658270155731,0.5989476713657231,0.7892809786009466,0.3691566116206156,0.19044079483779922,0.17309690502977995,0.6001088977871374,0.5458154065870217,0.9760308189592496,0.9473048330353174,0.7596520031397535,0.8176055910558273,2.5,0,CEK,3602,247.6,pert_only
k=3.0,0.4033678341053756,0.5057077991933139,0.2714264050886763,0.17623658270155731,0.5989476713657231,0.7685054319110443,0.36991103781422013,0.19044079483779922,0.15937950116503294,0.6001088977871374,0.5442807858066295,0.9744808519411585,0.9423641838826082,0.741112047392562,0.8156527324235285,3.0,0,CEK,3602,254.2,pert_only
k=4.0,0.38803164579926,0.5057077991933139,0.27089135501105155,0.17623658270155731,0.5989476713657231,0.7168997032377392,0.3696782875874026,0.19044079483779922,0.1356312173987289,0.6001088977871374,0.5401368205768434,0.9707235168714461,0.9294922159697524,0.7021823038158156,0.8109925576535627,4.0,0,CEK,3602,260.4,pert_only
k=1.25 (incl booster),0.42416102918596643,0.5057077991933139,0.2561841539087894,0.17617265832680928,0.59894767157327,0.8240625432789778,0.36327274475973664,0.19044079483779922,0.21582107654640176,0.6000001281911709,0.5455589448855885,0.9786564472290143,0.9550710907871839,0.7964828535920574,0.8183997465299226,1.25,0,CEK,3602,268.1,incl_booster
k=1.5 (incl booster),0.42179033428162505,0.5057077991933139,0.2615735970886085,0.176080849046597,0.59894767157327,0.817519342112597,0.36560596215118923,0.19044079483779922,0.20749001833977979,0.5998631848255189,0.5462498840648106,0.978188030991661,0.953666703400343,0.7888855330250636,0.8186363546157277,1.5,0,CEK,3602,275.2,incl_booster
k=2.0 (incl booster),0.4161581244371599,0.5057077991933139,0.2691814647049482,0.17581549085150883,0.59894767157327,0.8005346062309153,0.36888298946880754,0.19044079483779922,0.1923097386895408,0.5995058873735206,0.5465952076190973,0.9769592664629939,0.9498678178105276,0.7708774984326578,0.8187878125485456,2.0,0,CEK,3602,281.4,incl_booster
k=2.5 (incl booster),0.40958396213287473,0.5057077991933139,0.27358403768076683,0.17544478237252142,0.59894767157327,0.778684988781566,0.370752812326366,0.19044079483779922,0.17939865382297643,0.5990393438011921,0.5457387436539135,0.9753866282683084,0.9447487847104769,0.7504044863158578,0.8178414981253453,2.5,0,CEK,3602,287.4,incl_booster
k=3.0 (incl booster),0.40210817130075704,0.5057077991933139,0.27571327295646236,0.17497360196583808,0.59894767157327,0.7522699608704491,0.3716214344429042,0.19044079483779922,0.16806310136933816,0.5984661496678084,0.5440285261546559,0.9735166315102511,0.9383096040164769,0.7286178681904656,0.8158146579864156,3.0,0,CEK,3602,293.4,incl_booster
k=4.0 (incl booster),0.3845960705134094,0.5057077991933139,0.275658683709296,0.17375151501876093,0.59894767157327,0.6865202251689562,0.3714482691591017,0.19044079483779922,0.1482567321973965,0.597010844479798,0.5397873666964753,0.9690287802435874,0.9214708001882261,0.6840657977235532,0.8115017651586987,4.0,0,CEK,3602,299.8,incl_booster
