model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
S_strain_x_medium_x0.25,0.4360205992505023,0.5200368342251357,0.2638682007559054,0.2257169332963681,0.6311036024759066,0.8540093129165143,0.3742244479027772,0.2127897963789201,0.1946962208991584,0.6283163982976356,0.5466756281225176,0.9801523474571484,0.9586078739714856,0.8393148405450744,0.8173538604619628,S_strain_x_medium_x0.25,7,BAH,cheap,0.4291067760928932,223.4
S_strain_x_medium_x4,0.4612354890310312,0.4878234292379962,0.2901720294139442,0.1635942607043809,0.6418042371458346,0.86480063616788,0.3772449339997259,0.3132329782945436,0.2121688919528995,0.6165245169975343,0.5446260509656337,0.9811056963038468,0.9601295112314052,0.8504057259497735,0.8152127990916095,S_strain_x_medium_x4,8,BAH,cheap,0.443055770045746,207.8
S_strain_x_temp_x0.25,0.4646817431435179,0.5050099300519945,0.3076448458701187,0.2409745995053082,0.6316306826440308,0.8803439900380298,0.3995511774953421,0.2283355640649248,0.2639957700745369,0.6236895664869719,0.5577985457097375,0.984828769335262,0.968544615958312,0.861269068849715,0.8291976652748355,S_strain_x_temp_x0.25,5,CGD,cheap,0.4503643236721787,169.0
S_strain_x_temp_x0.25,0.4571180933949801,0.4922521143668613,0.2824215136709403,0.1790445616389195,0.6203383046995044,0.8657699037374065,0.3790737451286545,0.3006013274129828,0.2000072557412898,0.6169920498087975,0.5474950950720182,0.9814491852439792,0.961108953388746,0.8504543369574031,0.8170024256685374,S_strain_x_temp_x0.25,3,BAH,cheap,0.4421819900903981,162.9
S_strain_x_temp_x0.25,0.436257046846472,0.5205978972934036,0.2636081396388563,0.2251756857112473,0.6313299807798674,0.8539832760986793,0.3742517776935464,0.2141766403675195,0.1945097334267349,0.6282592898531412,0.5466848691836915,0.9801503247645712,0.9586015589360232,0.8393578524317598,0.8177461114391124,S_strain_x_temp_x0.25,7,BAH,cheap,0.4291632088181643,168.7
S_strain_x_temp_x0.25,0.4617522610270734,0.4891474638116544,0.2893877772477946,0.1636179043028469,0.6415901578041765,0.8643311034376566,0.3774929461582897,0.3170309134462316,0.2112256852072517,0.6161658102000851,0.5448980609852903,0.9810240718511124,0.9599597737454972,0.8498528089286737,0.8157654399705515,S_strain_x_temp_x0.25,8,BAH,cheap,0.4441446725358194,167.8
S_strain_x_temp_x0.25,0.466425659052863,0.4956850792489723,0.3051485156450876,0.2398856918196755,0.6172317064455235,0.8785436724243973,0.3935166288354239,0.2399336570549752,0.263712429452644,0.6390494944180465,0.5540720123159827,0.984383996109848,0.9672139100442336,0.8590412078229721,0.8263560178629271,S_strain_x_temp_x0.25,6,CGD,cheap,0.4534350271916789,187.8
S_strain_x_temp_x4,0.4981758097271729,0.4874009912487316,0.3346822186373414,0.222933068644244,0.6437877535585198,0.8894542559789804,0.4039164223825724,0.3550079581574702,0.2827295742820505,0.6335276443129422,0.5681116403307073,0.9864383563838404,0.9718082191385788,0.8707082253650749,0.8366446990455322,S_strain_x_temp_x4,1,CGD,cheap,0.4681568076490316,160.0
S_strain_x_temp_x4,0.4646885113347613,0.5052445966073581,0.3078273783452342,0.2407019294964433,0.6322604033941124,0.8802102610661521,0.3997228084254847,0.2281291144704026,0.2641577447228387,0.6238001440708679,0.5575674153884926,0.9848161155824252,0.9685064265551908,0.8611541063635142,0.8287524236418128,S_strain_x_temp_x4,5,CGD,cheap,0.4504292752851072,168.2
S_strain_x_temp_x4,0.4573302116824091,0.4927300931154817,0.2822074038554283,0.178227405018101,0.6196001693540213,0.8657993192656575,0.3790408506136138,0.302138820087805,0.199739047211884,0.6165089879378238,0.5476732584430797,0.981436685290996,0.9611021732409004,0.8506442415688733,0.8171848326640901,S_strain_x_temp_x4,3,BAH,cheap,0.4422084205964911,144.4
S_strain_x_temp_x4,0.4664428815335572,0.4957659698126581,0.3048945220472435,0.238638547522761,0.6176222034449375,0.8785675122806298,0.3933121423603986,0.2403855031180241,0.2637355528427678,0.6388198970609008,0.5539028517816612,0.9843697230902562,0.9671911439534316,0.8591686368021965,0.8268427474396045,S_strain_x_temp_x4,6,CGD,cheap,0.4534844791300306,162.6
S_strain_x_temp_x4,0.4358865076759712,0.5200903719741397,0.2637304798883865,0.2253365259891277,0.6307166882891575,0.8541603052101004,0.3741082198710214,0.21231076958192,0.1945196080667562,0.6282827313926556,0.5466608599439021,0.9801727936413768,0.958644442248821,0.8394497249841723,0.8175379870508287,S_strain_x_temp_x4,7,BAH,cheap,0.4292251186462816,168.5
S_strain_x_time_x4,0.4651909999541759,0.5060049473556826,0.3075115240670663,0.2406490565540602,0.6322714264077897,0.8803658232171396,0.3998996987906805,0.2302667917024257,0.2639718728537339,0.623797886247325,0.5583077815422689,0.9848385946361976,0.9685670000692056,0.8612095401609647,0.8298794113963766,S_strain_x_time_x4,5,CGD,cheap,0.4505135222702121,139.8
S_strain_x_temp_x4,0.4615396878862184,0.4887911188198937,0.2894941143298652,0.1637396158591198,0.64202641836688,0.8643952308397308,0.377428009826434,0.3155317498359385,0.2115712475201512,0.6164327402975618,0.5447953152137928,0.9810515313152216,0.9599978833251422,0.8497911905860884,0.8152928457318763,S_strain_x_temp_x4,8,BAH,cheap,0.4441745648863462,170.1
S_strain_x_time_x0.25,0.4646801670182507,0.5051048120153944,0.3073010798061271,0.2400235952163837,0.6318531954326532,0.8801514481099914,0.3993407856899969,0.2289955000942557,0.263963370777249,0.6234757195499196,0.5575066968892064,0.9848043734409262,0.9684854993180564,0.8610213987924424,0.8287215191705875,S_strain_x_time_x0.25,5,CGD,cheap,0.4502277446217729,171.4
