model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
winners + leaves 127,0.45558942993516716,0.5008486620301728,0.2951522326784874,0.22890190835341215,0.6207004045448278,0.8720745840555406,0.39059636044080087,0.21974299575851886,0.2525769705156372,0.6163515085160963,0.5485255781483586,0.983651912280014,0.9659791496454955,0.8528420241273891,0.8196746665788501,winners + leaves 127,5,CGD,479.5
winners + leaves 127,0.4552651139083192,0.4461020402627963,0.2507865063783923,0.1918618810446959,0.6044569114277523,0.8437153316758987,0.3454976002025635,0.333384983909495,0.22382287685436167,0.6216069038163031,0.5309076997619391,0.9806588139555882,0.9595998355390403,0.8196544339886745,0.808397200471057,winners + leaves 127,4,CEK,489.2
winners + leaves 127,0.4279399004378358,0.506415792324289,0.25092590273718945,0.17598943217198976,0.6010055643845293,0.8299172635625097,0.36136907539804025,0.19381480349518038,0.2278778684880351,0.6005589686084667,0.5443949523666816,0.9790448974440024,0.9562831001251579,0.8036223041473928,0.8174729224587038,winners + leaves 127,0,CEK,548.6
seedbag x3,0.45199708126817134,0.48567380463728155,0.2838904519452531,0.17625544128601658,0.6070429039786183,0.861359606732897,0.3755248141012599,0.2928662845636278,0.19513016570038735,0.6109066729705275,0.5430799809284225,0.9811099933200689,0.960358150826444,0.845490207411196,0.8118686327854399,seedbag x3,3,BAH,357.9
seedbag x3,0.455325090611612,0.44705068269040626,0.24964485237990075,0.19212965669229917,0.6043321957342886,0.8435416095860699,0.3454598312964674,0.3363600423480427,0.22127203101579998,0.6216430717099217,0.531221780530408,0.9806565123073547,0.9595868423966885,0.8194080436004955,0.8086104860053257,seedbag x3,4,CEK,379.2
seedbag x3,0.4246146040958633,0.5153474927373184,0.25109384210818697,0.18985218972805273,0.5907317670300086,0.8166964786004867,0.36605230839060465,0.1958332355601492,0.2188532167537441,0.6001022872956221,0.5362942417154793,0.9752641140796319,0.9479983632509803,0.785190188902075,0.807510598059343,seedbag x3,2,DHY210,399.4
seedbag x3,0.4550600429551362,0.5012057280434165,0.2941129947593185,0.22933435319455864,0.6202224949884565,0.8721683953996275,0.3903556039109233,0.21858532347418377,0.25118553339138205,0.6163460218729413,0.5489737867414499,0.9836469535379669,0.9659810634557376,0.8529538473411638,0.8206162300122648,seedbag x3,5,CGD,390.0
seedbag x3 + winners,0.428154394914212,0.5076765878538473,0.25069674938683817,0.1764634843501253,0.6009778212651635,0.8298505407822625,0.3617970969236467,0.19544305039657783,0.2266215295522944,0.6007778705913798,0.5448861895587076,0.9790548779407101,0.9562734669019451,0.8035342002180808,0.8180395522791107,seedbag x3 + winners,0,CEK,960.6
seedbag x3 + winners,0.4522248324232825,0.4851410160660069,0.2845473541559523,0.17603828988989317,0.6077181667725778,0.8612308642193094,0.37553748999336767,0.2931765259957765,0.19613583465840045,0.6109395439286092,0.5427572111476477,0.9810873231924008,0.9603107080606992,0.8454298418419938,0.8112752383454163,seedbag x3 + winners,3,BAH,799.4
seedbag x3 + winners,0.45551314380775676,0.44687610062196087,0.2501216227620931,0.19191355365437934,0.6045803433987971,0.8435018708548325,0.3455647562803156,0.3365041859343637,0.22200773527303688,0.621655260686439,0.5310734051317466,0.9806459616918842,0.9595712557353805,0.8194158379210945,0.8081628557507727,seedbag x3 + winners,4,CEK,807.7
seedbag x3 + winners,0.4252299407041969,0.5157836274053065,0.2519190000457814,0.18926212791471844,0.5908732413323088,0.8166058253755734,0.36650949443244385,0.1974887023959658,0.21982369023726944,0.5998310921359177,0.5367162856146476,0.9752563134074345,0.9479494338236465,0.7851963381722311,0.8080657283233754,seedbag x3 + winners,2,DHY210,856.8
seedbag x3 + winners,0.48640354099249306,0.4747302695536991,0.3202624130199314,0.2180015450652903,0.6323577391362339,0.8814663918170447,0.39175739352145617,0.33647324354405,0.2694192839999422,0.6309830599063632,0.5578820549857071,0.9852610258894271,0.9693010096952817,0.8622995269670796,0.8273790067315706,seedbag x3 + winners,1,CGD,1032.9
seedbag x3 + winners,0.45567307733622175,0.5015035191295997,0.2949617528874236,0.2288033782529129,0.6208412957621767,0.8720927692357934,0.3907824260080655,0.22007515178262904,0.252305016838382,0.6163980465277783,0.5488615722013329,0.9836385517328025,0.9659601686801802,0.8529060344283326,0.8201449969203081,seedbag x3 + winners,5,CGD,861.0
