model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=1.0,0.49702084964279664,0.4854534063522417,0.33474289788794803,0.22314569888884242,0.6427077981370866,0.8894377304496612,0.40306119343259517,0.35057237067994296,0.2827036822241921,0.6331416326147119,0.5679726270483474,0.98643409627939,0.9718045070770279,0.8706660677164096,0.8366411204866,1,CGD,1.0
k=1.2,0.4977736780625285,0.4854534063522417,0.3371757334746482,0.22254156029658353,0.6427077981370866,0.8886495206404558,0.4038713159531281,0.35057237067994296,0.2863237005761543,0.6329117246563187,0.5681111645860787,0.986362906861726,0.9715992227232992,0.8697093364856976,0.8366921207949719,1,CGD,1.2
k=1.4,0.49826100868032047,0.4854534063522417,0.33903517236090375,0.22184539120031696,0.6427077981370866,0.8875854693797702,0.404457815243034,0.35057237067994296,0.2892865619547128,0.632614651528316,0.567924186276904,0.9862627267958718,0.971315816409238,0.868425945700256,0.8361635030179282,1,CGD,1.4
k=1.6,0.49851815691960555,0.4854534063522417,0.34038724559985756,0.22106200471587914,0.6427077981370866,0.8862503055858726,0.4048456366610478,0.35057237067994296,0.2916558510042133,0.6322521280956355,0.5677165898154851,0.98613420318465,0.9709542878155267,0.8668341665802586,0.835941492411264,1,CGD,1.6
k=1.8,0.49855995005944487,0.4854534063522417,0.34129174872729867,0.22019641261131673,0.6427077981370866,0.8846488677229946,0.4050574609687472,0.35057237067994296,0.2934959642012115,0.6318259515309645,0.5673909828666353,0.9859779866321048,0.9705146372284129,0.8649526993253113,0.8356580563505198,1,CGD,1.8
k=2.0,0.4984032286717195,0.4854534063522417,0.34180259008332714,0.21925371385710768,0.6427077981370866,0.8827860211159643,0.4051138168409478,0.35057237067994296,0.29486842250910555,0.6313380118451977,0.5669122083192039,0.9857947279892535,0.9699968643157502,0.8628003578600328,0.8351706439914295,1,CGD,2.0
k=2.4,0.4975657655963488,0.4854534063522417,0.341831950124231,0.21715730636639088,0.6427077981370866,0.8782953555444883,0.40483231104966017,0.35057237067994296,0.2964316315368316,0.6301851365359695,0.5655860525616855,0.985349676696796,0.968726951949295,0.8577574715531596,0.8337425855199669,1,CGD,2.4
k=3.0,0.49523413048716575,0.4854534063522417,0.3399778514598011,0.21355818877616475,0.6427077981370866,0.869716237705603,0.40364888924044207,0.35057237067994296,0.2965079463410622,0.6280427692576105,0.5631664061194511,0.984495349987211,0.966236168293922,0.8486152808491324,0.8313921137298601,1,CGD,3.0
k=0.8,0.46092469876606396,0.48860370850653606,0.28742465356689706,0.1640280191965243,0.6417856977586898,0.8647648723958798,0.3765909507649174,0.3159396008007782,0.20874674405609017,0.6165314968158433,0.5446713588540134,0.9810818743928108,0.9601044309658123,0.8503002115942934,0.8157721017097196,8,BAH,0.8
k=1.0,0.4617063035125775,0.48860370850653606,0.28967580002646887,0.1639220183879565,0.6417856977586898,0.8644624172379929,0.377428751938482,0.3159396008007782,0.21180611299006813,0.6165047390599319,0.5451403083239196,0.981048960633009,0.9600140584968947,0.8499223271952502,0.8162713501619847,8,BAH,1.0
k=1.2,0.462360421832173,0.48860370850653606,0.2916466930543262,0.16378128945056838,0.6417856977586898,0.8639758142949034,0.378155555063271,0.3159396008007782,0.21462495644655707,0.6164379726391662,0.5453932298798173,0.9809945760201698,0.9598775571166338,0.8493007503907816,0.8163274186057792,8,BAH,1.2
k=1.4,0.46289462357349576,0.48860370850653606,0.29335028470767693,0.1636057198044536,0.6417856977586898,0.8633068837390717,0.37877624995457304,0.3159396008007782,0.21721185793871842,0.6163315195331969,0.545514812716382,0.9809187987539206,0.9596949270379126,0.8484426819866985,0.8162286225415712,8,BAH,1.4
k=1.6,0.4633156489151127,0.48860370850653606,0.2948004586172128,0.16339527141750132,0.6417856977586898,0.8624576328515615,0.3792960896755005,0.3159396008007782,0.21957627829307363,0.6161858368589076,0.545566808425282,0.9808217277141115,0.9594661681632424,0.8473560531071375,0.8161221596943888,8,BAH,1.6
k=1.8,0.4636187618850916,0.48860370850653606,0.2960117398758973,0.16315000080313244,0.6417856977586898,0.8614302246341531,0.3797205834529009,0.3159396008007782,0.22172827092454198,0.616001467195685,0.5453770006080639,0.9807034820182704,0.9591912805761801,0.8460493958296849,0.8154881366433819,8,BAH,1.8
